REF_AREA,Country,UNIT_MEASURE_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_LABEL
ALB,Albania,Years,2012,76.9,Number (real number)
DZA,Algeria,Years,2012,72.85,Number (real number)
ARG,Argentina,Years,2012,75.63,Number (real number)
ARM,Armenia,Years,2012,73.78,Number (real number)
AUS,Australia,Years,2012,81.7,Number (real number)
AUT,Austria,Years,2012,80.38,Number (real number)
AZE,Azerbaijan,Years,2012,70.51,Number (real number)
BHR,Bahrain,Years,2012,75.02,Number (real number)
BGD,Bangladesh,Years,2012,68.63,Number (real number)
BRB,Barbados,Years,2012,76.57,Number (real number)
BEL,Belgium,Years,2012,79.94,Number (real number)
BEN,Benin,Years,2012,55.59,Number (real number)
BOL,Bolivia,Years,2012,66.27,Number (real number)
BIH,Bosnia and Herzegovina,Years,2012,75.4,Number (real number)
BWA,Botswana,Years,2012,53.11,Number (real number)
BRA,Brazil,Years,2012,73.1,Number (real number)
BRN,Brunei Darussalam,Years,2012,77.93,Number (real number)
BGR,Bulgaria,Years,2012,73.51,Number (real number)
BFA,Burkina Faso,Years,2012,54.92,Number (real number)
BDI,Burundi,Years,2012,49.88,Number (real number)
KHM,Cambodia,Years,2012,62.54,Number (real number)
CMR,Cameroon,Years,2012,51.06,Number (real number)
CAN,Canada,Years,2012,80.8,Number (real number)
CPV,Cabo Verde,Years,2012,73.77,Number (real number)
TCD,Chad,Years,2012,49.19,Number (real number)
CHL,Chile,Years,2012,78.89,Number (real number)
CHN,China,Years,2012,73.27,Number (real number)
COL,Colombia,Years,2012,73.43,Number (real number)
CRI,Costa Rica,Years,2012,79.19,Number (real number)
CIV,Cote d'Ivoire,Years,2012,54.74,Number (real number)
HRV,Croatia,Years,2012,76.48,Number (real number)
CYP,Cyprus,Years,2012,79.38,Number (real number)
CZE,Czechia,Years,2012,77.42,Number (real number)
DNK,Denmark,Years,2012,79.1,Number (real number)
DOM,Dominican Republic,Years,2012,73.2,Number (real number)
ECU,Ecuador,Years,2012,75.46,Number (real number)
EGY,"Egypt, Arab Rep.",Years,2012,72.98,Number (real number)
SLV,El Salvador,Years,2012,71.73,Number (real number)
EST,Estonia,Years,2012,75.43,Number (real number)
ETH,Ethiopia,Years,2012,58.72,Number (real number)
FIN,Finland,Years,2012,79.87,Number (real number)
FRA,France,Years,2012,81.37,Number (real number)
GAB,Gabon,Years,2012,62.29,Number (real number)
GMB,"Gambia, The",Years,2012,58.16,Number (real number)
GEO,Georgia,Years,2012,73.33,Number (real number)
DEU,Germany,Years,2012,79.99,Number (real number)
GHA,Ghana,Years,2012,63.84,Number (real number)
GRC,Greece,Years,2012,80.39,Number (real number)
GTM,Guatemala,Years,2012,70.83,Number (real number)
GIN,Guinea,Years,2012,53.64,Number (real number)
GUY,Guyana,Years,2012,69.55,Number (real number)
HTI,Haiti,Years,2012,61.76,Number (real number)
HND,Honduras,Years,2012,72.83,Number (real number)
HKG,"Hong Kong SAR, China",Years,2012,82.88,Number (real number)
HUN,Hungary,Years,2012,74.21,Number (real number)
ISL,Iceland,Years,2012,81.45,Number (real number)
IND,India,Years,2012,65.13,Number (real number)
IDN,Indonesia,Years,2012,68.89,Number (real number)
IRN,"Iran, Islamic Rep.",Years,2012,72.75,Number (real number)
IRL,Ireland,Years,2012,80.29,Number (real number)
ISR,Israel,Years,2012,81.5,Number (real number)
ITA,Italy,Years,2012,81.74,Number (real number)
JAM,Jamaica,Years,2012,72.85,Number (real number)
JPN,Japan,Years,2012,82.93,Number (real number)
JOR,Jordan,Years,2012,73.29,Number (real number)
KAZ,Kazakhstan,Years,2012,68.3,Number (real number)
KEN,Kenya,Years,2012,56.5,Number (real number)
KOR,"Korea, Rep.",Years,2012,80.76,Number (real number)
KWT,Kuwait,Years,2012,74.6,Number (real number)
KGZ,Kyrgyz Republic,Years,2012,69.37,Number (real number)
LVA,Latvia,Years,2012,73.48,Number (real number)
LBN,Lebanon,Years,2012,72.41,Number (real number)
LSO,Lesotho,Years,2012,47.37,Number (real number)
LBR,Liberia,Years,2012,56.15,Number (real number)
LBY,Libya,Years,2012,74.75,Number (real number)
LTU,Lithuania,Years,2012,73.27,Number (real number)
LUX,Luxembourg,Years,2012,80.09,Number (real number)
MKD,North Macedonia,Years,2012,74.62,Number (real number)
MDG,Madagascar,Years,2012,66.47,Number (real number)
MWI,Malawi,Years,2012,53.46,Number (real number)
MYS,Malaysia,Years,2012,74.02,Number (real number)
MLI,Mali,Years,2012,50.95,Number (real number)
MLT,Malta,Years,2012,80.95,Number (real number)
MRT,Mauritania,Years,2012,58.22,Number (real number)
MUS,Mauritius,Years,2012,72.97,Number (real number)
MEX,Mexico,Years,2012,76.68,Number (real number)
MDA,Moldova,Years,2012,68.9,Number (real number)
MNG,Mongolia,Years,2012,68.19,Number (real number)
MNE,Montenegro,Years,2012,74.31,Number (real number)
MAR,Morocco,Years,2012,71.86,Number (real number)
MOZ,Mozambique,Years,2012,49.7,Number (real number)
NAM,Namibia,Years,2012,62.07,Number (real number)
NPL,Nepal,Years,2012,68.39,Number (real number)
NLD,Netherlands,Years,2012,80.7,Number (real number)
NZL,New Zealand,Years,2012,80.7,Number (real number)
NIC,Nicaragua,Years,2012,73.73,Number (real number)
NGA,Nigeria,Years,2012,51.41,Number (real number)
NOR,Norway,Years,2012,81,Number (real number)
OMN,Oman,Years,2012,73.12,Number (real number)
PAK,Pakistan,Years,2012,65.2,Number (real number)
PAN,Panama,Years,2012,75.97,Number (real number)
PRY,Paraguay,Years,2012,72.28,Number (real number)
PER,Peru,Years,2012,73.76,Number (real number)
PHL,Philippines,Years,2012,68.48,Number (real number)
POL,Poland,Years,2012,76.25,Number (real number)
PRT,Portugal,Years,2012,79.03,Number (real number)
PRI,Puerto Rico,Years,2012,78.91,Number (real number)
QAT,Qatar,Years,2012,78.1,Number (real number)
ROU,Romania,Years,2012,73.46,Number (real number)
RUS,Russian Federation,Years,2012,68.8,Number (real number)
RWA,Rwanda,Years,2012,55.06,Number (real number)
SAU,Saudi Arabia,Years,2012,73.85,Number (real number)
SEN,Senegal,Years,2012,58.95,Number (real number)
SRB,Serbia,Years,2012,73.94,Number (real number)
SYC,Seychelles,Years,2012,73.03,Number (real number)
SLE,Sierra Leone,Years,2012,47.4,Number (real number)
SGP,Singapore,Years,2012,81.64,Number (real number)
SVK,Slovak Republic,Years,2012,75.11,Number (real number)
SVN,Slovenia,Years,2012,79.42,Number (real number)
ZAF,South Africa,Years,2012,52.08,Number (real number)
ESP,Spain,Years,2012,81.63,Number (real number)
LKA,Sri Lanka,Years,2012,74.72,Number (real number)
SUR,Suriname,Years,2012,70.34,Number (real number)
SWZ,Eswatini,Years,2012,48.34,Number (real number)
SWE,Sweden,Years,2012,81.45,Number (real number)
CHE,Switzerland,Years,2012,82.25,Number (real number)
TWN,"Taiwan, China",Years,2012,79.18,Number (real number)
TJK,Tajikistan,Years,2012,67.26,Number (real number)
TZA,Tanzania,Years,2012,57.39,Number (real number)
THA,Thailand,Years,2012,73.93,Number (real number)
TLS,Timor-Leste,Years,2012,62,Number (real number)
TTO,Trinidad and Tobago,Years,2012,69.76,Number (real number)
TUR,Turkiye,Years,2012,73.7,Number (real number)
UGA,Uganda,Years,2012,53.61,Number (real number)
UKR,Ukraine,Years,2012,70.28,Number (real number)
ARE,United Arab Emirates,Years,2012,76.57,Number (real number)
GBR,United Kingdom,Years,2012,80.4,Number (real number)
USA,United States,Years,2012,78.24,Number (real number)
URY,Uruguay,Years,2012,76.24,Number (real number)
VEN,"Venezuela, RB",Years,2012,74.13,Number (real number)
VNM,Viet Nam,Years,2012,74.83,Number (real number)
YEM,"Yemen, Rep.",Years,2012,65.03,Number (real number)
ZMB,Zambia,Years,2012,48.46,Number (real number)
ZWE,Zimbabwe,Years,2012,49.86,Number (real number)
